"SNP","rs34025766"
"rs35501294",-0.000161588191986084
"rs34967214",-0.000160412862896919
"rs908222",-0.000148975290358067
"rs10939701",-0.00120698008686304
"rs756226",-0.000146946404129267
"rs73131754",0.00106593081727624
"rs35885815",-0.00232942402362823
"rs13110653",0.0158560033887625
"rs73131756",0.00120682502165437
"rs6414773",-0.00370900891721249
"rs13142679",0.0157472807914019
"rs6449272",-0.0152267115190625
"rs75522763",-0.00193697446957231
"rs34394334",0.00799541920423508
"rs16894220",-0.00221991818398237
"rs17443775",1.75787135958672e-05
"rs58513860",-0.00759600475430489
"rs2056080",2.1172221750021e-05
"rs17443810",0.0163887608796358
"rs6821930",0.0164662394672632
"rs192260690",0.00223110523074865
"rs145499311",-0.00528314476832747
"rs35889155",0.0165571849793196
"rs28797595",0.00339732691645622
"rs147108932",0.000806052703410387
"rs71603345",0.0164782982319593
"rs141964852",-0.00378556596115232
"rs77176466",7.61342234909534e-05
"rs116657464",-0.0124331442639232
"rs77395436",0.000134632922708988
"rs75956781",0.0166422985494137
"rs36026630",0.00758713064715266
"rs75484249",-0.00334434909746051
"rs955215",0.000122248660773039
"rs61661577",-0.00171534111723304
"rs142727410",-9.89185646176338e-05
"rs116819830",-0.00849605351686478
"rs6414774",0.00780424568802118
"rs74412437",-0.00756634306162596
"rs143561980",0.00681984657421708
"rs142036551",-0.00423665950074792
"rs115490892",-0.000977740157395601
"rs140654980",-0.00539654633030295
"rs34632533",0.00024661747738719
"rs144466511",-0.00532743334770203
"rs36124679",0.00841480400413275
"rs62299681",0.00306369829922915
"rs141016779",-0.00534334871917963
"rs35576152",0.0167847275733948
"rs4698527",-0.0153538212180138
"rs1514993",0.000357846729457378
"rs16894222",-0.00282330624759197
"rs4698528",-0.000458916649222374
"rs79438265",-0.00213516084477305
"rs34789637",0.0170593541115522
"rs13109226",-0.0155745157971978
"rs9784523",-0.00251358328387141
"rs4698529",-0.000280844513326883
"rs11726913",-0.0150083499029279
"rs11731316",-0.0158165041357279
"rs16868322",-0.00715118553489447
"rs2314597",-0.0155521798878908
"rs67212838",0.0154773648828268
"rs56654947",-0.00795033387839794
"rs35981915",-0.0155518306419253
"rs57472180",-0.0155068645253778
"rs77518465",0.000551909673959017
"rs67423907",-0.015555820427835
"rs9992188",0.0155531708151102
"rs9992282",0.0155556062236428
"rs10015513",0.0402193516492844
"rs10018050",0.0156660135835409
"rs55894908",0.0156652349978685
"rs13111806",-0.0156568121165037
"rs148491846",1.36997550725937e-06
"rs28866955",0.0156684797257185
"rs150993660",0.00164524978026748
"rs150993660",-0.00495744775980711
"rs13114287",-0.0156343132257462
"rs34773031",-0.0165972467511892
"rs13141081",-0.0156171768903732
"rs13152124",-0.015612656250596
"rs13120273",-0.015616181306541
"rs34868635",-0.000138155650347471
"rs111607550",-0.00327307498082519
"rs13120035",0.0173604283481836
"rs111932458",0.00105438521131873
"rs10033091",0.0156301259994507
"rs9998880",0.0156030831858516
"rs2314596",0.00423847418278456
"rs4579112",0.0150645216926932
"rs7440043",0.00256133591756225
"rs189802671",-0.0123110255226493
"rs28793314",0.00984840840101242
"rs141816651",-0.00674826931208372
"rs143481818",-0.00252306321635842
"rs75898435",0.00232366984710097
"rs185536201",-0.00563127314671874
"rs4698530",-0.00721601815894246
"rs62299683",-0.00369195081293583
"rs28558529",0.00489718606695533
"rs1022296",-0.0137145919725299
"rs35101164",-0.0134028056636453
"rs17503508",-0.0136779332533479
"rs80253870",-0.00671997899189591
"rs34030720",-0.0147648071870208
"rs112930730",0.00250424956902862
"rs114636260",0.000387649051845074
"rs2314594",-0.00673376023769379
"rs143786529",0.0438718684017658
"rs76209472",-0.00686400756239891
"rs112076943",-0.0101019749417901
"rs35782933",0.0216288156807423
"rs187119730",0.00283646397292614
"rs181176590",-0.00862072594463825
"rs144083490",0.000852360855787992
"rs147371715",0.00780460191890597
"rs67860769",-0.0184480976313353
"rs6858060",-0.00939305871725082
"rs28571771",0.0411613881587982
"rs34728601",0.0215297155082226
"rs35517960",0.00137294689193368
"rs75126557",-0.0103909410536289
"rs7697066",-0.00953603815287352
"rs35894004",-0.012445074506104
"rs2203443",-0.00933632720261812
"rs6820705",-0.0107981888577342
"rs6844693",-0.0199861135333776
"rs6845548",-0.0199862569570541
"rs58483733",-0.0217370707541704
"rs58526558",-0.0195242743939161
"rs35272899",0.021656908094883
"rs35181857",-0.0199806299060583
"rs75942748",0.00956080853939056
"rs75946421",-0.0105892913416028
"rs11734857",-0.0194838345050812
"rs151051174",-0.0109715927392244
"rs115512375",-0.0105730444192886
"rs17444173",-0.00840074475854635
"rs2102702",-0.00524549977853894
"rs1514983",-0.0106707513332367
"rs1514984",-0.0107066463679075
"rs1399545",0.0022464101202786
"rs7663730",-0.0106482375413179
"rs7694426",-0.0106141474097967
"rs11727707",-0.0213151108473539
"rs115194921",-0.00771797681227326
"rs35341436",-0.0193515159189701
"rs114780459",0.000913691241294146
"rs147664825",-0.00134495319798589
"rs1514985",-0.0106968823820353
"rs78586338",0.00680928444489837
"rs34995589",0.0215654876083136
"rs7675756",-0.0199340526014566
"rs35030473",-0.0194858238101006
"rs77811038",-0.010468210093677
"rs6815440",-0.01943214610219
"rs80169171",-0.0114975105971098
"rs11730753",-0.0193810742348433
"rs6449275",-0.0193824674934149
"rs6845881",-0.0194203276187181
"rs2314593",-0.0194676518440247
"rs138459933",0.00487166503444314
"rs2176024",-0.0193999670445919
"rs13148423",-0.019805233925581
"rs141388771",-0.0115266991779208
"rs7656167",-0.0215963590890169
"rs11735367",-0.0193651542067528
"rs149698584",-0.00395446363836527
"rs34726987",0.0215423107147217
"rs13109476",-0.0218134690076113
"rs34460683",0.0217734426259995
"rs142506598",-0.0053982581011951
"rs34890058",0.00669976742938161
"rs34241892",0.00700292084366083
"rs11724970",-0.00391013640910387
"rs1514990",-0.0161218903958797
"rs1514989",-0.00622970703989267
"rs7659710",-0.00335061876103282
"rs73245378",-0.0182704068720341
"rs55817358",-0.00438643572852015
"rs17504079",0.0109173562377691
"rs28444145",-0.00442606490105391
"rs34081702",0.00471186032518744
"rs13353641",-0.00437913648784161
"rs4536919",-0.00439326418563724
"rs13353571",-0.00436738925054669
"rs4536920",-0.00437683844938874
"rs13140638",0.0254573561251163
"rs4472131",-0.00440360838547349
"rs4472132",-0.00439084647223353
"rs4536921",-0.00438425270840526
"rs953277",-0.00435540126636624
"rs16894247",-0.0171499121934175
"rs13141012",-0.0209894273430109
"rs13107569",-0.0212241392582655
"rs34289497",0.00414579780772328
"rs111768701",0.00221457937732339
"rs182802532",1.88820995390415e-05
"rs34421996",0.00309096928685904
"rs184787131",-0.00152557017281651
