"SNP","rs356182"
"rs2924350",-0.00112561229616404
"rs2972031",-0.0205865558236837
"rs2972032",-0.0202346742153168
"rs79066056",0.000355395022779703
"rs77860352",0.0115428399294615
"rs2924934",-0.00154291279613972
"rs114996964",-0.0091608976945281
"rs2924349",-0.0214745532721281
"rs3775399",-0.00147221516817808
"rs138680879",0.000406566541641951
"rs1063143",0.000734364148229361
"rs2602117",-0.00700521934777498
"rs13434488",0.00114354491233826
"rs2972030",-0.00120341498404741
"rs2860320",-0.00194215029478073
"rs3017905",-0.00120441010221839
"rs143851212",0.000534107442945242
"rs2924348",-0.00120610743761063
"rs11945033",-0.00119618652388453
"rs11944979",-0.0205611456185579
"rs10028703",-0.00119892228394747
"rs2869946",-0.00194816244766116
"rs115686988",0.00888182502239943
"rs138106259",0.0144321937114
"rs2602127",-0.0122122578322887
"rs62308723",-0.00120011623948812
"rs182690862",-0.0281080137938261
"rs58170081",-0.0121739814057946
"rs76365502",-0.00432960502803326
"rs3017902",-0.00121677480638027
"rs28852087",-0.00120006687939167
"rs3017901",-0.00196596421301365
"rs2604217",-0.00634744809940457
"rs184674776",-0.0251300428062677
"rs2860408",-0.00121081294491887
"rs114166013",-0.000176209956407547
"rs142526077",0.00414874358102679
"rs3017900",-0.00120621593669057
"rs3844296",-0.00129699893295765
"rs2924935",-0.00120505318045616
"rs2924936",-0.00117067620158195
"rs72663463",0.00815086625516415
"rs9991751",0.00381048768758774
"rs562335723",-0.0203747041523457
"rs2602121",-0.0120294624939561
"rs2972033",-0.0120991691946983
"rs2860419",0.00224369391798973
"rs62308725",-0.00408256286755204
"rs3017899",-0.00108024571090937
"rs2924941",0.00224385038018227
"rs2860422",-0.0014107208698988
"rs2869662",0.0038366955704987
"rs79131508",0.00896513182669878
"rs28504084",0.00382508710026741
"rs3017897",-0.00137194292619824
"rs2904163",-0.00875443033874035
"rs2860500",-0.00188033562153578
"rs1059122",-0.00192652922123671
"rs2602120",-0.013786168769002
"rs1801918",-0.0208739396184683
"rs13130",-0.00134379137307405
"rs3017895",-0.00130763556808233
"rs9224",0.00230771210044622
"rs78517451",0.0114838555455208
"rs7662680",0.00371397007256746
"rs115045943",-0.0184622928500175
"rs2924940",0.00198187353089452
"rs112818517",0.0116753960028291
"rs1801915",0.00367130106315017
"rs2869661",0.00121775548905134
"rs3017914",-0.00109809683635831
"rs55638042",-0.000464398413896561
"rs2604225",-0.0148926926776767
"rs3852087",0.00376039138063788
"rs146172270",6.31622970104218e-05
"rs2972028",-0.00240148790180683
"rs2860528",-0.00129564711824059
"rs9999958",0.00362360617145896
"rs2604221",-0.00240448210388422
"rs2904162",0.00364698655903339
"rs2602118",-0.0150510715320706
"rs78179026",0.0114249121397734
"rs3017903",-0.00141263846307993
"rs2924937",-0.00141624873504043
"rs72663468",-0.0053560184314847
"rs2602112",-0.00244529405608773
"rs78959409",0.0113471802324057
"rs72870511",-0.00123121496289968
"rs2602113",-0.00158700998872519
"rs2602115",-0.00752838049083948
"rs73841670",-0.00171833811327815
"rs111432829",0.00409302022308111
"rs3775391",-0.00170665653422475
"rs2604210",-0.00439563719555736
"rs2604211",-0.00439269235357642
"rs2602116",-0.00377173908054829
"rs72870517",-0.00127186300233006
"rs112559324",-0.000608302187174559
"rs17014483",-0.00146823190152645
"rs6855961",-0.00704924529418349
"rs2278877",-0.00165031012147665
"rs7657817",-0.00371112069115043
"rs12152672",-0.0022106384858489
"rs11944668",-0.00419023633003235
"rs28673752",-0.00375107116997242
"rs3822077",-0.00419875979423523
"rs3756050",-0.00439748540520668
"rs3775389",0.00285984063521028
"rs2278876",-0.00437205005437136
"rs61737091",0.0111041376367211
"rs10011342",-0.00466117449104786
"rs112558843",0.010992300696671
"rs7656423",-0.00507083302363753
"rs7683339",-0.0050896517932415
"rs10428273",0.0109830526635051
"rs7662156",0.00539038563147187
"rs10017406",-0.01749412342906
"rs61231054",0.00581311667338014
"rs3960287",0.0103966472670436
"rs1965869",0.0173814948648214
"rs12640571",-0.0193573031574488
"rs998654",0.0101958150044084
"rs998653",0.00975124631077051
"rs1452903",0.0102601051330566
"rs1530924",0.0100224278867245
"rs6830226",-0.0189758259803057
"rs56116025",-0.0206201244145632
"rs139961040",-0.0162141118198633
"rs11097195",-0.00115839811041951
"rs72870525",0.0106295784935355
"rs78114325",0.0110968183726072
"rs58625141",-0.020923338830471
"rs13435721",0.00276615004986525
"rs76806573",0.0114911952987313
"rs73841702",-0.0202527586370707
"rs7674009",0.0116302091628313
"rs6832489",-0.0207517612725496
"rs80056168",0.00640015304088593
"rs17014513",-0.020890248939395
"rs6857153",0.00770289311185479
"rs6532079",0.00691264169290662
"rs7660516",0.00111129926517606
"rs7666372",0.0117843123152852
"rs6824205",-0.0209092665463686
"rs17014526",-0.0212736465036869
"rs3756049",0.01574582234025
"rs3756048",-0.020861079916358
"rs77135481",0.0117231756448746
"rs114609865",0.00382935581728816
"rs1947379",0.00768854608759284
"rs10034445",-0.000594848301261663
"rs12651604",-0.0192857719957829
"rs72870533",-0.0197492223232985
"rs113847493",-0.0198390185832977
"rs11097197",-0.0202538128942251
"rs76884708",0.0117127513512969
"rs2278875",0.00717812869697809
"rs3816453",0.0072813993319869
"rs73844112",-0.0207623708993196
"rs76401410",0.0116580855101347
"rs72870540",-0.0209068097174168
"rs72870541",-0.0202946420758963
"rs6841084",0.00651179999113083
"rs13105579",0.0147684160619974
"rs12646123",-0.0209076926112175
"rs12507401",0.0152961919084191
"rs17014546",-0.0204171612858772
"rs72870544",-0.0201872643083334
"rs12641753",-0.0206102859228849
"rs12647839",-0.0205732993781567
"rs12651060",-0.0202409252524376
"rs80239864",0.0114492001011968
"rs59774315",-0.0202302597463131
"rs12645124",0.00692646019160748
"rs7677568",0.00584715884178877
"rs7677602",0.00652520824223757
"rs2290784",-0.0016081384383142
"rs2290783",0.00675254175439477
"rs76103372",-0.000777574256062508
"rs10017416",-0.0108807347714901
"rs13118477",0.000176412519067526
"rs28776248",-0.00996786449104548
"rs9998110",-0.00915252976119518
"rs9998539",-0.00996570196002722
"rs67081224",-0.00996996555477381
"rs987469",-0.00477346871048212
"rs6847567",0.00782609079033136
"rs2869947",0.00358102284371853
"rs3796658",-0.00508684245869517
"rs11725153",0.014732675626874
"rs3822076",-0.00505257351323962
"rs9993691",0.00884691346436739
"rs10029220",-0.0203749109059572
"rs6825776",0.00734378304332495
"rs72663482",-0.00987910386174917
"rs2290782",-0.00439723022282124
"rs2290781",0.00393416872248054
"rs1377291",0.000143980141729116
"rs9991328",-0.00461093802005053
"rs11723789",-0.0202290397137403
"rs77005727",0.00333070568740368
"rs13117705",-0.0207318086177111
"rs28393862",-0.0099429078400135
"rs144755882",-0.00312755443155766
"rs76531710",0.0057874727062881
"rs10428504",-0.00454128021374345
"rs72663486",-0.00703368289396167
"rs77140172",0.00755375064909458
"rs146833340",-0.0288167633116245
"rs78643321",0.0130946049466729
"rs17803482",-0.0100686252117157
"rs7680994",-0.0207720119506121
"rs11721338",0.00434955162927508
"rs112542013",0.00757422531023622
"rs75621874",0.00759278750047088
"rs1377290",-0.0044327131472528
"rs1377289",0.00419447477906942
"rs9996321",-0.00428251922130585
"rs141387359",-0.0174041893333197
"rs13149860",-0.00430723698809743
"rs2869948",-0.00431103352457285
"rs2904251",0.0030671264976263
"rs12642973",-0.0084789888933301
"rs74811486",0.00777223752811551
"rs151093865",-0.00722007732838392
"rs6824451",-0.00457416847348213
"rs115683264",-0.0284843910485506
"rs17014580",-0.0134701337665319
"rs57956471",0.00799083802849054
"rs10012045",-0.00875173415988684
"rs17747153",0.00798732414841652
"rs10012528",-0.00462401611730456
"rs10012624",-0.00505209201946855
"rs10020704",-0.00465601356700063
"rs75581102",0.0073279058560729
"rs3822075",-0.00841773394495249
"rs2276936",-0.00409106025472283
"rs11729934",0.00247981585562229
"rs183225204",0.00310348533093929
"rs17747350",0.0083753801882267
"rs73842241",0.00849949195981026
"rs1870339",-0.00421557342633605
"rs10516821",-0.0108849238604307
"rs898073",0.0164594072848558
"rs2869949",-0.00416926853358746
"rs732881",-0.00851603131741285
"rs732880",-0.00408552074804902
"rs2167750",-0.00462415954098105
"rs74684746",0.000646658707410097
"rs76273989",0.00776201114058495
"rs17014601",-0.0133540909737349
"rs17014602",-0.0080046383664012
"rs4544678",-0.00841880403459072
"rs6532080",-0.00886959116905928
"rs7691186",-0.00887565314769745
"rs3775383",-0.0168425720185041
"rs7697644",-0.00413674861192703
"rs7697886",-0.00408997107297182
"rs6814344",-0.00439978577196598
"rs1350506",-0.00373066309839487
"rs1817279",0.00834210775792599
"rs6532081",-0.00446202233433723
"rs6532082",-0.00446639442816377
"rs6818193",0.0086006885394454
"rs6818353",-0.00407150620594621
"rs114843067",0.0184540823101997
"rs12163807",0.00246288720518351
"rs17014616",0.00709322094917297
"rs2125407",-0.00459216441959143
"rs17014620",0.00670135486871004
"rs7694958",-0.00416308594867587
"rs7695177",-0.00268360506743193
"rs17747911",-0.00384800508618355
"rs73842243",0.00667758518829942
"rs6813481",0.00790320057421923
"rs13131633",-0.004471723921597
"rs3822073",-0.00449615390971303
"rs3775381",-0.00999276805669069
"rs3775380",-0.00447223149240017
"rs3775379",-0.00447393581271172
"rs3775378",-0.0162698831409216
"rs13133548",-0.00501270452514291
"rs35806830",0.00192023161798716
"rs1903002",-0.00146476412191987
"rs3822072",-0.00502141239121556
"rs13147493",-0.00875353254377842
"rs28418580",-0.00440211175009608
"rs28618985",-0.0100613152608275
"rs2869950",-0.0099860280752182
"rs114361640",-0.00524239614605904
"rs2869951",-0.000110178720206022
"rs3775373",-0.000424772035330534
"rs2305934",-0.00707012647762895
"rs3806788",-0.0195940565317869
"rs35019968",0.00936196371912956
"rs73842248",0.00960478372871876
"rs73842249",0.00958850141614676
"rs71609539",0.00959096197038889
"rs13115763",-5.02895563840866e-05
"rs10021465",-0.00477681774646044
"rs13149209",0.0120322182774544
"rs1379935",-0.00181261962279677
"rs7660000",0.000230589415878057
"rs57400569",0.0123758558183908
"rs10028284",0.00771133415400982
"rs4425336",0.0128158768638968
"rs142482265",0.00507214153185487
"rs114909425",-0.0283564832061529
"rs7698655",-0.00204067630693316
"rs7676814",-0.00232142023742199
"rs28507656",0.00451964978128672
"rs60955950",0.00306249037384987
"rs57973162",-0.00246744230389595
"rs11097199",-0.0120177138596773
"rs72872120",-0.00246749352663755
"rs59473955",0.00299224490299821
"rs77716148",-0.00246745673939586
"rs12643428",0.00174456555396318
"rs72872123",-0.00246832193806767
"rs77399952",-0.00246824976056814
"rs72872126",0.00217628059908748
